frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink
204,2293,610,140,0.41724,0.09576000000000001,0.45193914216492187,-1.2237134242937315,5.350789803845987,-12.44305373283926,766,556,0.5239440000000001,0.38030400000000003,0.8379603576350313,0.1055331827033947,9.421418553060581,1.378096245120726
205,2297,616,122,0.421344,0.08344800000000001,0.4363114184596566,-1.158463478662661,3.701959259714348,-7.7739331773506555,778,558,0.5321520000000001,0.381672,0.7919058251088993,0.08755458251661077,5.908125909892257,0.6108566585140446
206,2305,624,102,0.42681600000000003,0.06976800000000001,0.47900519506771844,-1.251654975124395,-3.3044930230926504,7.3605683808675515,790,560,0.5403600000000001,0.38304000000000005,0.8643233605843758,0.09455362198578815,-5.757214887919345,-0.3625101015172231
207,2318,630,84,0.43092,0.057456,0.45669403908777184,-1.2159514465857217,-4.929979814105899,14.205170512713192,804,562,0.549936,0.384408,0.8263904451150335,0.10349626805439743,-9.142777745353525,-1.4663330919865805
208,2330,638,66,0.436392,0.045144000000000004,0.3981830446744888,-1.0444108345455179,-1.6447938090863299,4.348333827870091,816,562,0.5581440000000001,0.384408,0.7226312184757625,0.08815355446093802,-2.342325195923667,0.2791760739162064
209,2342,644,48,0.440496,0.032832,0.37817338793079947,-0.9915704130831527,0.2459443126998917,-0.24016456415280657,828,564,0.5663520000000001,0.385776,0.7219367010387104,0.08061876026756198,2.493049074606033,0.31933067125076414
210,2357,652,28,0.44596800000000003,0.019152000000000002,0.3673478677229251,-0.9852223539770372,-1.0665429283104824,0.6596097379620826,842,566,0.575928,0.38714400000000004,0.7023977098491869,0.07880840935830906,-0.3812317313945738,-0.07051940859854326
211,2367,658,12,0.450072,0.008208,,,,,854,568,0.584136,0.388512,0.6855503108422536,0.08517896684265173,-2.60466673870123,-0.5623793405558999
212,2377,,,,,,,,,868,568,0.593712,0.388512,0.6791093687189893,0.07480449049790028,-2.8156798123748237,-0.825753403037098
213,2394,,,,,,,,,880,570,0.60192,0.38988,0.6762184744983459,0.06848585828509635,-0.13549953741468534,-0.12246848417351208
