frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-lightorange,pos_pixel_y-lightorange,r_x-lightorange,r_y-lightorange,v_x-lightorange,v_y-lightorange,a_x-lightorange,a_y-lightorange,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
94,269,616,618,0.426888,0.428274,-0.46877421,0.316091525,-5.110581581,2.382509678,,,,,,,,,490,434,0.33957,0.300762,0.01516748,0,-0.426302962,-1.08E-13,,,,,,,,,760,380,0.52668,0.26334,0,0.026301014,-4.55E-14,1.049868643
95,279,608,624,0.421344,0.432432,-0.473533024,0.312534774,-0.475689023,-0.897516095,,,,,,,,,490,434,0.33957,0.300762,0.009305858,0,-0.100868514,-3.31E-14,,,,,,,,,760,380,0.52668,0.26334,0,0.026668002,5.22E-13,0.478813204
96,283,600,630,0.4158,0.43659,-0.504465888,0.311260618,-1.801816509,-0.398524336,,,,,,,,,490,434,0.33957,0.300762,0.020084765,3.89E-15,-1.575964749,-1.55E-13,,,,,,,,,760,382,0.52668,0.264726,0,0.027496937,3.24E-13,-0.241432585
97,299,592,634,0.410256,0.439362,-0.548887228,0.310844385,-1.137299006,-3.52274974,,,,,,,,,490,434,0.33957,0.300762,2.10E-15,2.10E-15,-1.10E-13,6.67E-13,,,,,,,,,760,382,0.52668,0.264726,8.42E-15,0.021750199,6.29E-14,-1.691604982
98,310,586,638,0.406098,0.442134,-0.605393472,0.283925855,-7.846777675,-0.364504461,,,,,,,,,490,434,0.33957,0.300762,-4.29E-15,-8.58E-15,-3.32E-13,5.32E-14,,,,,,,,,760,382,0.52668,0.264726,-8.58E-15,0.007567687,-7.14E-13,-1.511449056
99,317,576,642,0.399168,0.444906,-0.532234892,0.22132771,-1.109274369,-2.527593445,,,,,,,,,490,434,0.33957,0.300762,0,1.97E-15,-5.11E-13,-7.57E-13,,,,,,,,,760,382,0.52668,0.264726,0,1.97E-15,-4.33E-13,-6.68E-13
100,327,568,646,0.393624,0.447678,-0.579864574,0.227851774,4.263715736,-4.446918853,,,,,,,,,490,434,0.33957,0.300762,4.03E-15,0.009632202,-5.50E-13,1.294028271,,,,,,,,,760,382,0.52668,0.264726,4.03E-15,0,-6.46E-13,-3.86E-13
101,333,560,648,0.38808,0.449064,-0.605977565,0.20915425,2.565492192,-4.759229684,,,,,,,,,490,434,0.33957,0.300762,1.97E-15,0.009016079,-1.82E-13,0.263133494,,,,,,,,,760,382,0.52668,0.264726,3.95E-15,0,7.61E-13,1.48E-15
102,353,550,650,0.38115,0.45045,-0.565267819,0.135551467,-1.244030936,-2.13763572,,,,,,,,,490,434,0.33957,0.300762,0,0.001230426,6.63E-14,-0.853340478,,,,,,,,,760,382,0.52668,0.264726,3.80E-15,0,-6.85E-13,-2.95E-14
103,361,542,654,0.375606,0.453222,-0.586385575,0.12715478,-3.536097913,-0.386429419,,,,,,,,,490,436,0.33957,0.302148,-1.94E-15,-0.00286342,-1.35E-13,-1.109044306,,,,,,,,,760,382,0.52668,0.264726,0,0,-9.91E-14,1.39E-13
104,367,532,654,0.368676,0.453222,-0.567945762,0.110769703,-2.51141692,-1.228556959,,,,,,,,,490,434,0.33957,0.300762,1.92E-15,-0.002831503,5.71E-13,-0.737760073,,,,,,,,,760,382,0.52668,0.264726,0,1.92E-15,9.64E-13,1.08E-13
105,381,524,656,0.363132,0.454608,-0.645944442,0.090328157,0.60352285,-4.373925904,,,,,,,,,490,434,0.33957,0.300762,-4.37E-15,-0.010281962,-8.91E-13,0.053406495,,,,,,,,,760,382,0.52668,0.264726,-8.75E-15,-6.56E-15,-1.14E-12,-4.37E-13
106,390,514,658,0.356202,0.455994,-0.702509136,0.053295812,-8.486749404,-2.561211404,,,,,,,,,490,434,0.33957,0.300762,2.28E-15,-0.008952884,7.80E-13,2.063603502,,,,,,,,,760,382,0.52668,0.264726,9.13E-15,2.28E-15,3.03E-14,8.56E-13
107,402,506,658,0.350658,0.455994,-0.584801302,0.0358379,3.290378099,-2.344140379,,,,,,,,,490,434,0.33957,0.300762,0,-3.99E-15,9.31E-14,8.70E-14,,,,,,,,,760,382,0.52668,0.264726,0,-2.00E-15,2.08E-13,3.86E-16
108,407,496,658,0.343728,0.455994,-0.647962634,0.014489669,6.764957997,-2.82118532,,,,,,,,,490,434,0.33957,0.300762,2.02E-15,0,1.72E-13,4.17E-13,,,,,,,,,760,382,0.52668,0.264726,-4.05E-15,-0.008322928,5.32E-13,-1.13938117
109,412,488,658,0.338184,0.455994,-0.623060327,-0.008014766,3.909158716,-3.0062207,,,,,,,,,490,434,0.33957,0.300762,-3.69E-15,-7.37E-15,1.38E-14,6.69E-14,,,,,,,,,760,382,0.52668,0.264726,-9.22E-15,-0.010014446,5.32E-13,-1.355387814
110,436,478,658,0.331254,0.455994,-0.562165676,-0.055416511,1.190985955,-1.744680849,,,,,,,,,490,434,0.33957,0.300762,-5.48E-15,-1.83E-15,-4.69E-13,-4.58E-13,,,,,,,,,760,382,0.52668,0.264726,-7.31E-15,-0.006273888,-8.60E-13,1.48439313
111,441,468,656,0.324324,0.454608,-0.565519489,-0.068094583,-5.016302152,-1.972428921,,,,,,,,,490,434,0.33957,0.300762,0,1.85E-15,3.93E-14,-3.36E-13,,,,,,,,,760,380,0.52668,0.26334,3.69E-15,-0.014334319,-1.00E-13,0.671293768
112,452,460,654,0.31878,0.453222,-0.51596567,-0.087113634,0.00430953,-1.65075786,,,,,,,,,490,434,0.33957,0.300762,1.72E-15,1.72E-15,-1.90E-13,-2.21E-13,,,,,,,,,760,380,0.52668,0.26334,3.43E-15,-0.015250233,1.59E-13,0.253028717
113,465,450,654,0.31185,0.453222,-0.549214699,-0.108957956,7.494473982,-0.342435797,,,,,,,,,490,434,0.33957,0.300762,0,3.44E-15,1.21E-13,3.82E-14,,,,,,,,,760,382,0.52668,0.264726,3.44E-15,-0.010935975,8.61E-14,0.051826677
